DIASEMANA,MESOCU,ANOOCU,RHORA,REGION,PROVINCIA,TVIA,TIPOACCIDENTE,SALDOTRAG,MEDIOTRANS,VEHICHOQUE,VEHICUVOLC,VEHICUATRO,VEHICAIDA,VEHIDESLI,ESTRECON,APLASTAM
6,2,2007,1,9,23,3,1,1,4,4, , , , , , 
6,2,2007,9,6,10,4,1,1,6,4, , , , , , 
6,2,2007,7,5,21,3,2,1,4, ,4, , , , , 
6,2,2007,9,4,15,3,3,1,25, , ,3, , , , 
6,2,2007,11,9,23,3,3,1,25, , ,99, , , , 
6,2,2007,6,10,32,3,5,1,2, , , , ,2, , 
7,2,2007,8,8,8,4,1,1,2,3, , , , , , 
7,2,2007,5,7,22,4,3,1,25, , ,4, , , , 
7,2,2007,9,5,21,3,3,1,25, , ,99, , , , 
7,2,2007,10,10,32,2,3,1,25, , ,99, , , , 
2,2,2007,12,8,12,3,1,1,1,1, , , , , , 
2,2,2007,8,5,17,3,5,1,4, , , , ,4, , 
2,2,2007,12,10,32,3,6,1,1, , , , , ,99, 
4,2,2007,9,7,7,4,3,1,25, , ,2, , , , 
4,2,2007,10,3,6,4,3,1,25, , ,8, , , , 
5,2,2007,6,1,18,4,1,1,2,2, , , , , , 
5,2,2007,12,10,32,3,1,1,2,4, , , , , , 
5,2,2007,10,10,1,2,3,1,25, , ,99, , , , 
5,2,2007,8,6,4,4,3,1,25, , ,99, , , , 
5,2,2007,6,8,11,4,3,1,25, , ,99, , , , 
5,2,2007,4,5,21,3,5,1,6, , , , ,6, , 
6,2,2007,10,1,25,4,1,1,2,1, , , , , , 
6,2,2007,7,9,29,4,1,2,3,1, , , , , , 
6,2,2007,7,10,1,4,3,1,25, , ,99, , , , 
6,2,2007,6,10,32,2,3,1,25, , ,99, , , , 
7,2,2007,2,10,1,2,1,2,2,3, , , , , , 
6,2,2007,9,5,2,4,1,1,2,6, , , , , , 
7,2,2007,1,8,11,3,1,1,2,99, , , , , , 
7,2,2007,12,1,25,3,1,1,3,6, , , , , , 
7,2,2007,12,5,21,3,3,1,25, , ,1, , , , 
7,2,2007,8,8,11,4,5,1,2, , , , ,2, , 
7,2,2007,5,4,15,4,5,1,2, , , , ,2, , 
1,2,2007,11,1,18,3,1,1,1,1, , , , , , 
1,2,2007,5,6,4,4,1,1,2,1, , , , , , 
1,2,2007,6,10,1,2,3,2,25, , ,1, , , , 
1,2,2007,5,6,4,4,3,1,25, , ,99, , , , 
1,2,2007,3,6,4,3,6,1,2, , , , , ,99, 
2,2,2007,6,5,17,4,1,2,2,1, , , , , , 
2,2,2007,9,2,28,3,1,3,2,1, , , , , , 
2,2,2007,12,1,25,2,5,1,1, , , , ,1, , 
3,2,2007,6,5,17,3,1,1,2,1, , , , , , 
3,2,2007,3,3,14,4,1,1,2,4, , , , , , 
3,2,2007,8,6,4,3,3,1,25, , ,3, , , , 
4,3,2007,10,8,11,4,1,2,2,3, , , , , , 
4,3,2007,10,1,9,4,1,1,2,4, , , , , , 
4,3,2007,7,4,5,4,1,1,2,8, , , , , , 
4,3,2007,6,5,17,4,1,1,3,3, , , , , , 
4,3,2007,6,5,2,4,5,1,2, , , , ,2, , 
5,3,2007,12,9,23,4,1,2,1,7, , , , , , 
5,3,2007,6,8,11,4,1,1,4,5, , , , , , 
